--------- beginning of /dev/log/system
01-01 03:22:13.760 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 03:22:13.840 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 03:22:13.890 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 03:22:13.890 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 03:22:18.850 D/VoldCmdListener(   75): volume list
01-01 03:22:18.860 D/VoldCmdListener(   75): volume mount sdcard
01-01 03:22:18.860 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 03:22:18.860 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 03:22:18.860 W/Vold    (   75): Skipping fs checks
01-01 03:22:18.910 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 03:22:18.910 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 33
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 36
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 33
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 32
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 61
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 31
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 33
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 62
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 64
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 36
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 39
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 61
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 32
01-01 03:22:30.110 D/SPRDENG (  167): 35
01-01 03:22:30.110 D/SPRDENG (  167): 62
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 65
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 36
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 36
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 33
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 36
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 39
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 36
01-01 03:22:30.110 D/SPRDENG (  167): 33
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 63
01-01 03:22:30.110 D/SPRDENG (  167): 39
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 36
01-01 03:22:30.110 D/SPRDENG (  167): 33
01-01 03:22:30.110 D/SPRDENG (  167): 39
01-01 03:22:30.110 D/SPRDENG (  167): 61
01-01 03:22:30.110 D/SPRDENG (  167): 61
01-01 03:22:30.110 D/SPRDENG (  167): 30
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 38
01-01 03:22:30.110 D/SPRDENG (  167): 36
01-01 03:22:30.110 D/SPRDENG (  167): 34
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 66
01-01 03:22:30.110 D/SPRDENG (  167): 37
01-01 03:22:30.110 D/SPRDENG (  167): 39
01-01 03:22:30.110 D/SPRDENG (  167): 36
01-01 03:22:30.120 D/SPRDENG (  167): 38
01-01 03:22:30.120 D/SPRDENG (  167): 37
01-01 03:22:30.120 D/SPRDENG (  167): 66
01-01 03:22:30.120 D/SPRDENG (  167): 38
01-01 03:22:30.120 D/SPRDENG (  167): 30
01-01 03:22:30.120 D/SPRDENG (  167): 37
01-01 03:22:30.120 D/SPRDENG (  167): 63
