--------- beginning of /dev/log/system
01-01 08:32:24.810 I/Vold    (   75): Vold 2.1 (the revenge) firing up
01-01 08:32:24.860 D/Vold    (   75): Volume sdcard state changing -1 (Initializing) -> 0 (No-Media)
01-01 08:32:24.910 D/Vold    (   75): Volume sdcard state changing 0 (No-Media) -> 2 (Pending)
01-01 08:32:24.930 D/Vold    (   75): Volume sdcard state changing 2 (Pending) -> 1 (Idle-Unmounted)
01-01 08:32:29.900 D/VoldCmdListener(   75): volume list
01-01 08:32:29.910 D/VoldCmdListener(   75): volume mount sdcard
01-01 08:32:29.910 I/Vold    (   75): /dev/block/vold/179:1 being considered for volume sdcard
01-01 08:32:29.910 D/Vold    (   75): Volume sdcard state changing 1 (Idle-Unmounted) -> 3 (Checking)
01-01 08:32:29.910 W/Vold    (   75): Skipping fs checks
01-01 08:32:29.960 I/Vold    (   75): Device /dev/block/vold/179:1, target /mnt/sdcard mounted @ /mnt/secure/staging
01-01 08:32:29.960 D/Vold    (   75): Volume sdcard state changing 3 (Checking) -> 4 (Mounted)
--------- beginning of /dev/log/main
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 34
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 34
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 33
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 33
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 62
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 31
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 33
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 62
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 64
01-01 08:32:41.270 D/SPRDENG (  167): 39
01-01 08:32:41.270 D/SPRDENG (  167): 32
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 62
01-01 08:32:41.270 D/SPRDENG (  167): 39
01-01 08:32:41.270 D/SPRDENG (  167): 63
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 32
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 33
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 31
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 31
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 35
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 34
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 63
01-01 08:32:41.270 D/SPRDENG (  167): 39
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 34
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 61
01-01 08:32:41.270 D/SPRDENG (  167): 30
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 34
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 63
01-01 08:32:41.270 D/SPRDENG (  167): 36
01-01 08:32:41.270 D/SPRDENG (  167): 38
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 65
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 66
01-01 08:32:41.270 D/SPRDENG (  167): 37
01-01 08:32:41.270 D/SPRDENG (  167): 63
01-01 08:32:41.270 D/SPRDENG (  167): 36
